Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00022653,-0.00030111,0.12794,0,0,0,12.684,0.085446,2.5668E-07,3.2733E-06,0.089093,1.5189E-06,0.11267,0,0,0,0,0,0,package://HRA_AFD_assmebly/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://HRA_AFD_assmebly/meshes/base_link.STL,,气足装配体（示意）-1;第二代舱内自由飞行机器人（简化NX）v1.5-1/核心模块（简化NX）-1;第二代舱内自由飞行机器人（简化NX）v1.5-1/侧面模块1-1;第二代舱内自由飞行机器人（简化NX）v1.5-1/侧面模块2（电源）-1;第二代舱内自由飞行机器人（简化NX）v1.5-1/侧面模块2-1;第二代舱内自由飞行机器人（简化NX）v1.5-1/底面固连模块-1;第二代舱内自由飞行机器人（简化NX）v1.5-1/侧面模块1（正面）-1/侧面模块1-体-1;第二代舱内自由飞行机器人（简化NX）v1.5-1/侧面模块1（正面）-1/侧面模块1-盖（相机）-1;第二代舱内自由飞行机器人（简化NX）v1.5-1/侧面模块1（正面）-1/相机模块_2-1/相机模块架-1;第二代舱内自由飞行机器人（简化NX）v1.5-1/风扇-支架模块(下)-1/顶点模块架-2;第二代舱内自由飞行机器人（简化NX）v1.5-1/风扇-支架模块(下)-1/风扇模块-1/风扇模块架-1;第二代舱内自由飞行机器人（简化NX）v1.5-1/风扇-支架模块(下)-1/顶点模块架-1;第二代舱内自由飞行机器人（简化NX）v1.5-1/风扇-支架模块(下)-1/核心模块-外部模块连接件-1;第二代舱内自由飞行机器人（简化NX）v1.5-1/风扇-支架模块(上)-1/核心模块-外部模块连接件-1;第二代舱内自由飞行机器人（简化NX）v1.5-1/风扇-支架模块(上)-1/风扇模块-2/风扇模块架-1;第二代舱内自由飞行机器人（简化NX）v1.5-1/风扇-支架模块(上)-1/顶点模块架-1;第二代舱内自由飞行机器人（简化NX）v1.5-1/风扇-支架模块(上)-1/顶点模块架-2;第二代舱内自由飞行机器人（简化NX）v1.5-1/风扇-支架模块(上)-1/风扇模块-1/风扇模块架-1;第二代舱内自由飞行机器人（简化NX）v1.5-1/风扇-支架模块(下)-1/风扇模块-2/风扇模块架-1;第二代舱内自由飞行机器人（简化NX）v1.5-1/风扇-支架模块(下)-1/风扇模块-2/fan1_model_2.1.20230613_confirm-2/fan_shell-1;第二代舱内自由飞行机器人（简化NX）v1.5-1/风扇-支架模块(下)-1/风扇模块-2/fan1_model_2.1.20230613_confirm-1/fan_shell-1;第二代舱内自由飞行机器人（简化NX）v1.5-1/风扇-支架模块(下)-1/风扇模块-2/fan1_model_2.1.20230613_confirm-3/fan_shell-1;第二代舱内自由飞行机器人（简化NX）v1.5-1/风扇-支架模块(上)-1/风扇模块-1/fan1_model_2.1.20230613_confirm-1/fan_shell-1;第二代舱内自由飞行机器人（简化NX）v1.5-1/风扇-支架模块(上)-1/风扇模块-1/fan1_model_2.1.20230613_confirm-2/fan_shell-1;第二代舱内自由飞行机器人（简化NX）v1.5-1/风扇-支架模块(上)-1/风扇模块-2/fan1_model_2.1.20230613_confirm-2/fan_shell-1;第二代舱内自由飞行机器人（简化NX）v1.5-1/风扇-支架模块(上)-1/风扇模块-2/fan1_model_2.1.20230613_confirm-1/fan_shell-1;第二代舱内自由飞行机器人（简化NX）v1.5-1/风扇-支架模块(上)-1/风扇模块-1/fan1_model_2.1.20230613_confirm-3/fan_shell-1;第二代舱内自由飞行机器人（简化NX）v1.5-1/风扇-支架模块(下)-1/风扇模块-1/fan1_model_2.1.20230613_confirm-1/fan_shell-1;第二代舱内自由飞行机器人（简化NX）v1.5-1/风扇-支架模块(下)-1/风扇模块-1/fan1_model_2.1.20230613_confirm-3/fan_shell-1;第二代舱内自由飞行机器人（简化NX）v1.5-1/风扇-支架模块(下)-1/风扇模块-1/fan1_model_2.1.20230613_confirm-2/fan_shell-1;第二代舱内自由飞行机器人（简化NX）v1.5-1/风扇-支架模块(上)-1/风扇模块-1/fan1_model_2.1.20230613_confirm-3/fan_axis-1;第二代舱内自由飞行机器人（简化NX）v1.5-1/风扇-支架模块(下)-1/风扇模块-1/fan1_model_2.1.20230613_confirm-3/fan_axis-1;第二代舱内自由飞行机器人（简化NX）v1.5-1/风扇-支架模块(下)-1/核心模块外壳-1;第二代舱内自由飞行机器人（简化NX）v1.5-1/风扇-支架模块(上)-1/风扇模块-1/fan1_model_2.1.20230613_confirm-1/fan_axis-1;第二代舱内自由飞行机器人（简化NX）v1.5-1/风扇-支架模块(上)-1/风扇模块-2/fan1_model_2.1.20230613_confirm-2/fan_axis-1;第二代舱内自由飞行机器人（简化NX）v1.5-1/风扇-支架模块(上)-1/风扇模块-2/fan1_model_2.1.20230613_confirm-3/fan_axis-1;第二代舱内自由飞行机器人（简化NX）v1.5-1/风扇-支架模块(下)-1/风扇模块-1/fan1_model_2.1.20230613_confirm-1/fan_axis-1;第二代舱内自由飞行机器人（简化NX）v1.5-1/风扇-支架模块(下)-1/风扇模块-2/fan1_model_2.1.20230613_confirm-2/fan_axis-1;第二代舱内自由飞行机器人（简化NX）v1.5-1/风扇-支架模块(下)-1/风扇模块-2/fan1_model_2.1.20230613_confirm-3/fan_axis-1;第二代舱内自由飞行机器人（简化NX）v1.5-1/风扇-支架模块(下)-1/风扇模块-2/fan1_model_2.1.20230613_confirm-1/fan_axis-1;第二代舱内自由飞行机器人（简化NX）v1.5-1/风扇-支架模块(下)-1/风扇模块-1/fan1_model_2.1.20230613_confirm-2/fan_axis-1;第二代舱内自由飞行机器人（简化NX）v1.5-1/风扇-支架模块(上)-1/风扇模块-2/fan1_model_2.1.20230613_confirm-3/fan_shell-1;第二代舱内自由飞行机器人（简化NX）v1.5-1/风扇-支架模块(上)-1/风扇模块-2/fan1_model_2.1.20230613_confirm-1/fan_axis-1;第二代舱内自由飞行机器人（简化NX）v1.5-1/风扇-支架模块(上)-1/风扇模块-1/fan1_model_2.1.20230613_confirm-2/fan_axis-1,组合体基系,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LX+_Link,-1.8519E-10,-2.9906E-10,-0.017338,0,0,0,0.039411,2.5177E-06,1.1922E-14,-1.4822E-13,2.5177E-06,7.8541E-15,2.7426E-06,0,0,0,0,0,0,package://HRA_AFD_assmebly/meshes/LX+_Link.STL,0.22353,0.22353,0.22353,1,0,0,0,0,0,0,package://HRA_AFD_assmebly/meshes/LX+_Link.STL,,第二代舱内自由飞行机器人（简化NX）v1.5-1/风扇-支架模块(上)-1/风扇模块-1/fan1_model_2.1.20230613_confirm-3/fan_blade-1,LX+系 <第二代舱内自由飞行机器人（简化NX）v1.5-1>,LX+轴 <第二代舱内自由飞行机器人（简化NX）v1.5-1>,LX+_joint,continuous,0.122,0.071,0.364,1.5708,0,1.5708,base_link,0,0,-1,,,,,,,,,,,,
LX-_Link,-1.852E-10,-2.9906E-10,-0.017338,0,0,0,0.039411,2.5177E-06,1.1922E-14,-1.4822E-13,2.5177E-06,7.8541E-15,2.7426E-06,0,0,0,0,0,0,package://HRA_AFD_assmebly/meshes/LX-_Link.STL,0.22353,0.22353,0.22353,1,0,0,0,0,0,0,package://HRA_AFD_assmebly/meshes/LX-_Link.STL,,第二代舱内自由飞行机器人（简化NX）v1.5-1/风扇-支架模块(下)-1/风扇模块-2/fan1_model_2.1.20230613_confirm-2/fan_blade-1,LX-系 <第二代舱内自由飞行机器人（简化NX）v1.5-1>,LX-轴 <第二代舱内自由飞行机器人（简化NX）v1.5-1>,LX-_joint,continuous,-0.122,0.071,0.222,1.5708,0,-1.5708,base_link,0,0,-1,,,,,,,,,,,,
RX+_Link,1.8519E-10,2.9906E-10,-0.017338,0,0,0,0.039411,2.5177E-06,1.1922E-14,1.4822E-13,2.5177E-06,-7.8541E-15,2.7426E-06,0,0,0,0,0,0,package://HRA_AFD_assmebly/meshes/RX+_Link.STL,0.22353,0.22353,0.22353,1,0,0,0,0,0,0,package://HRA_AFD_assmebly/meshes/RX+_Link.STL,,第二代舱内自由飞行机器人（简化NX）v1.5-1/风扇-支架模块(下)-1/风扇模块-1/fan1_model_2.1.20230613_confirm-3/fan_blade-1,RX+系 <第二代舱内自由飞行机器人（简化NX）v1.5-1>,RX+轴 <第二代舱内自由飞行机器人（简化NX）v1.5-1>,RX+_joint,continuous,0.122,-0.071,0.222,1.5708,0,1.5708,base_link,0,0,-1,,,,,,,,,,,,
RX-_Link,1.8519E-10,2.9906E-10,-0.017338,0,0,0,0.039411,2.5177E-06,1.1922E-14,1.4822E-13,2.5177E-06,-7.8541E-15,2.7426E-06,0,0,0,0,0,0,package://HRA_AFD_assmebly/meshes/RX-_Link.STL,0.22353,0.22353,0.22353,1,0,0,0,0,0,0,package://HRA_AFD_assmebly/meshes/RX-_Link.STL,,第二代舱内自由飞行机器人（简化NX）v1.5-1/风扇-支架模块(上)-1/风扇模块-2/fan1_model_2.1.20230613_confirm-2/fan_blade-1,RX-系 <第二代舱内自由飞行机器人（简化NX）v1.5-1>,RX-轴 <第二代舱内自由飞行机器人（简化NX）v1.5-1>,RX-_joint,continuous,-0.122,-0.071,0.364,1.5708,0,-1.5708,base_link,0,0,-1,,,,,,,,,,,,
FY+_Link,-1.852E-10,-2.9906E-10,-0.017338,0,0,0,0.039411,2.5177E-06,1.1922E-14,-1.4822E-13,2.5177E-06,7.8541E-15,2.7426E-06,0,0,0,0,0,0,package://HRA_AFD_assmebly/meshes/FY+_Link.STL,0.22353,0.22353,0.22353,1,0,0,0,0,0,0,package://HRA_AFD_assmebly/meshes/FY+_Link.STL,,第二代舱内自由飞行机器人（简化NX）v1.5-1/风扇-支架模块(上)-1/风扇模块-1/fan1_model_2.1.20230613_confirm-1/fan_blade-1,FY+系 <第二代舱内自由飞行机器人（简化NX）v1.5-1>,FY+轴 <第二代舱内自由飞行机器人（简化NX）v1.5-1>,FY+_joint,continuous,0.071,0.122,0.364,1.5708,0,3.1416,base_link,0,0,-1,,,,,,,,,,,,
FY-_Link,1.852E-10,2.9906E-10,-0.017338,0,0,0,0.039411,2.5177E-06,1.1922E-14,1.4822E-13,2.5177E-06,-7.8541E-15,2.7426E-06,0,0,0,0,0,0,package://HRA_AFD_assmebly/meshes/FY-_Link.STL,0.22353,0.22353,0.22353,1,0,0,0,0,0,0,package://HRA_AFD_assmebly/meshes/FY-_Link.STL,,第二代舱内自由飞行机器人（简化NX）v1.5-1/风扇-支架模块(下)-1/风扇模块-1/fan1_model_2.1.20230613_confirm-1/fan_blade-1,FY-系 <第二代舱内自由飞行机器人（简化NX）v1.5-1>,FY-轴 <第二代舱内自由飞行机器人（简化NX）v1.5-1>,FY-_joint,continuous,0.071,-0.122,0.222,1.5708,0,0,base_link,0,0,-1,,,,,,,,,,,,
AY+_Link,-2.9906E-10,1.852E-10,-0.017338,0,0,0,0.039411,2.5177E-06,-1.1922E-14,7.8541E-15,2.5177E-06,1.4822E-13,2.7426E-06,0,0,0,0,0,0,package://HRA_AFD_assmebly/meshes/AY+_Link.STL,0.22353,0.22353,0.22353,1,0,0,0,0,0,0,package://HRA_AFD_assmebly/meshes/AY+_Link.STL,,第二代舱内自由飞行机器人（简化NX）v1.5-1/风扇-支架模块(下)-1/风扇模块-2/fan1_model_2.1.20230613_confirm-3/fan_blade-1,AY+系 <第二代舱内自由飞行机器人（简化NX）v1.5-1>,AY+轴 <第二代舱内自由飞行机器人（简化NX）v1.5-1>,AY+_joint,continuous,-0.071,0.122,0.222,1.5708,0,-3.1416,base_link,0,0,-1,,,,,,,,,,,,
AY-_Link,2.9906E-10,-1.8519E-10,-0.017338,0,0,0,0.039411,2.5177E-06,-1.1922E-14,-7.8541E-15,2.5177E-06,-1.4822E-13,2.7426E-06,0,0,0,0,0,0,package://HRA_AFD_assmebly/meshes/AY-_Link.STL,0.22353,0.22353,0.22353,1,0,0,0,0,0,0,package://HRA_AFD_assmebly/meshes/AY-_Link.STL,,第二代舱内自由飞行机器人（简化NX）v1.5-1/风扇-支架模块(上)-1/风扇模块-2/fan1_model_2.1.20230613_confirm-3/fan_blade-1,AY-系 <第二代舱内自由飞行机器人（简化NX）v1.5-1>,AY-轴 <第二代舱内自由飞行机器人（简化NX）v1.5-1>,AY-_joint,continuous,-0.071,-0.122,0.364,1.5708,0,0,base_link,0,0,-1,,,,,,,,,,,,
LZ+_Link,2.9906E-10,-1.852E-10,-0.017338,0,0,0,0.039411,2.5177E-06,-1.1922E-14,-7.8541E-15,2.5177E-06,-1.4822E-13,2.7426E-06,0,0,0,0,0,0,package://HRA_AFD_assmebly/meshes/LZ+_Link.STL,0.22353,0.22353,0.22353,1,0,0,0,0,0,0,package://HRA_AFD_assmebly/meshes/LZ+_Link.STL,,第二代舱内自由飞行机器人（简化NX）v1.5-1/风扇-支架模块(上)-1/风扇模块-1/fan1_model_2.1.20230613_confirm-2/fan_blade-1,LZ+系 <第二代舱内自由飞行机器人（简化NX）v1.5-1>,LZ+轴 <第二代舱内自由飞行机器人（简化NX）v1.5-1>,LZ+_joint,continuous,0.071,0.071,0.415,0,0,1.5708,base_link,0,0,-1,,,,,,,,,,,,
